product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_title,review_content,img_link,product_link
B07JW9H4J1,wayona nylon braided usb lightning fast charging data sync cable compatible iphone x ipad air pro mini ft pack grey,computersaccessories,399.0,1099.0,64.0,4.2,24269.0,high compatibility compatible iphone xxsmaxxr iphone plusiphone plusiphone s plusiphone plusiphone scseipad proipad air ipad mini ipod nanoipod touch apple devicesfast chargedata sync charge sync simultaneously rapid speed compatible charging adaptor multiport charging station power bankdurability durable nylon braided design premium aluminum housing toughened nylon fiber wound tightly around cord lending superior durability adding bit flexibilityhigh security level designed fully protect device damaging excessive currentcopper core thickmultilayer shielding antiinterference protective circuit equipmentwarranty month warranty friendly customer service ensures longtime enjoyment purchase meet question problem please dont hesitate contact u,"AG3D6O4STAQKAY2UVGEUV46KN35Q,AHMY5CWJMMK5BJRBBSNLYT3ONILA,AHCTC6ULH4XB6YHDY6PCH2R772LQ,AGYHHIERNXKA6P5T7CZLXKVPT7IQ,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,AENGU523SXMOS7JPDTW52PNNVWGQ,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ","Manav,Adarsh gupta,Sundeep,S.Sayeed Ahmed,jaspreet singh,Khaja moin,Anand,S.ARUMUGAM","R3HXWT0LRP0NMF,R2AJM3LFTLZHFO,R6AQJGUP6P86,R1KD19VHEDV0OR,R3C02RMYQMK6FC,R39GQRVBUZBWGY,R2K9EDOE15QIRJ,R3OI7YT648TL8I",satisfiedcharging really fastvalue moneyproduct reviewgood qualitygood productgood productas seems good,look durable charging fine toono complainscharging really fast good producttill satisfied qualitythis good product charging speed slower original iphone cablegood quality would recommend worked well till date issuecable also sturdy enoughhave asked replacement company samevalue money,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1
B098NS6PVG,ambrane unbreakable w fast charging braided type c cable smartphones tablet laptop type c device pd technology mbps data sync quick charge rcta black,computersaccessories,199.0,349.0,43.0,4.0,41526.0,compatible type c enabled device android smartphone mi samsung oppo vivo realme oneplus etc tablet laptop macbook chromebook etcsupports quick charging unbreakable made special braided outer rugged interior binding ultradurable cable wont affected daily rough usageideal length ideal length meter neither short like typical meter cable long like meter cablesupports maximum fast charging mbps data transfer speed month manufacturer warranty date purchase,"AECPFYFQVRUWC3KGNLJIOREFP5LQ,AGYYVPDD7YG7FYNBXNGXZJT525AQ,AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,AEZ346GX3HJ4O4XNRPHCNHXQURMQ,AEPSWFPNECKO34PUC7I56ITGXR6Q,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,AH4QT33M55677I7ISQOAKEQWACYQ","ArdKn,Nirbhay kumar,Sagar Viswanathan,Asp,Placeholder,BharanI,sonia,Niam","RGIQEG07R9HS2,R1SMWZQ86XIN8U,R2J3Y1WL29GWDE,RYGGS0M09S3KY,R17KQRUTAN5DKS,R3AAQGS6HP2QUK,R1HDNOG6TO2CCA,R3PHKXYA5AFEOU",good braided cable type c devicegood quality product ambranesuper cableasgood qualitygood productits goodgood quality price one issue unit,ordered cable connect phone android auto car cable really strong connection port really well made already micro usb cable ambrane still good shape connected phone car using cable got connected well issue also connected charging port yes fast charging supportit quality good price main thing didnt ever thought cable long good one charging power good also support fast chargingvalue money extra lengthgood working fineproduct quality goodgoodvery goodbought daughter old phonebrand new cable charging already repacked requested replacementi checked green colour pastefungus inside micro usb connector cleaned alcoholic start working againchecked ampere charging speed got around mama bad came braided long cable pretty impressive pricecant blame manufacturerbut quality issue distributor might stored humid place,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zOsqQOAOL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2
B096MSW6CT,sounce fast phone charging cable data sync usb cable compatible iphone x ipad air pro mini io device,computersaccessories,199.0,1899.0,90.0,3.9,7928.0,fast charger data syncwith builtin safety proctections fourcore copper wire promote maximum signal quality strength enhance charging data transfer speed mb transferring speed compatibilitycompatible iphone x ipad air pro mini io device sturdy durablethe jacket enforced connector made tpe premium copper resistant repeatedly bending coiling ultra high quality according experimental result fishbone design accept least bending insertion test extra protection durability upgraded aluminum connector exclusive laser welding technology ensure metal part wont break also tighter connection fit well even protective case never loose connection good sale serviceour friendly reliable customer service respond within hour purchase confidenceand every sale includes day worryfree service prove importance set quality,"AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,AESFLDV2PT363T2AQLWQOWZ4N3OA,AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,AEUVWXYP5LT7PZLLZENEO2NODPBQ,AHC7MPW55DOO6WNCOQVA2VHOD26A,AFDI6FRPFBTNBG7BAEB7JDJSMKDQ,AFQKCEEEKXCOHTDG4WUN3XPPHJQQ,AHKUUFNMBZIDLSSPA4FEHIO2EC7Q","Kunal,Himanshu,viswanath,sai niharka,saqib malik,Aashiq,Ramu Challa,Sanjay gupta","R3J3EQQ9TZI5ZJ,R3E7WBGK7ID0KV,RWU79XKQ6I1QF,R25X4TBMPY91LX,R27OK7G99VK0TR,R207CYDCHJJTCJ,R3PCU8XMU173BT,R1IMONDOWRNU5V",good speed earlier versionsgood productworking goodgood pricegoodworth moneyworking niceits really nice product,quite durable sturdy good nice productworking wellits really nice product,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31IvNJZnmdL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3
B08HDJ86NZ,boat deuce usb typec micro usb stress resistant tanglefree sturdy cable fast charging mbps data transmission bend lifespan extended lengthmartian red,computersaccessories,329.0,699.0,53.0,4.2,41526.0,boat deuce usb cable compatible smartphones tablet pc peripheral bluetooth speaker power bank device typec well micro usb portit ensures fast charging data transmission rapid sync mbpsthe premium nylon braided skin make sturdy invincible external damageits aluminium alloy shell housing make last longer bend lifespan extended frame protection strain reliefthe resilient flexible design offer tangle free experience seamlesslydeuce usb cable offer perfect meter length smooth hasslefree user experience year warranty date purchase,"AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,AG5HTSFRRE6NL3M5SGCUQBP7YSCA,AH725ST5NW2Y4JZPKUNTIJCUK2BA,AHV3TXIFCJPMS4D5JATCEUR266MQ,AGWIGDEMFIIUAOXYY2QATNBSUGHA,AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,AGAKDNBHY2FKX7I4ACRGILU7QL7A,AFNWJUWJRHCC6HN52KMG5AKZY37Q","Omkar dhale,JD,HEMALATHA,Ajwadh a.,amar singh chouhan,Ravi Siddan,Himanshu Goel,Udaykumar","R3EEUZKKK9J36I,R3HJVYCLYOY554,REDECAZ7AMPQC,R1CLH2ULIVG5U3,R2DMKIBGFKBD6R,RC89B5IAJUTR5,R3B3DDON5FH8DS,R13WAEJDI5RS36",good productgood onenicereally nice productvery first time changegoodfine product could bettervery nice charging like jet,good productlong wirecharges goodnicei bought cable r worthy product price tested various charger adapter w w support fast charging wellgoodoki got good price sale amazon product useful warranty warranty need go far practical cost mine micro type c connector stopped working day onlyi like product,https://m.media-amazon.com/images/I/41V5FtEWPkL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4
B08CF3B7N1,portronics konnect l fast charging pin usb cable charge sync function iphone ipad grey,computersaccessories,154.0,399.0,61.0,4.2,16905.0,charge sync function cable come charging data sync functionhigh quality material tpe nylon material make sure life cable enhanced significantlylong cord cable extra thick meter long optimized easy use comfort home officemore durablethis cable unique interms design multiuse positioned provide best comfort performance usinguniversal compatibility compatible device like iphone x x xr ipad pro ipad mini ipad air,"AE3Q6KSUK5P75D5HFYHCRAOLODSA,AFUGIFH5ZAFXRDSZHM4QB2KPKFUQ,AFK4NJOLFSJGWLOJIUIAROJF6YVA,AFUOTYRFUXVPEBGIXVZZ7DR3CZUA,AFDLRSXKDZ6U3U3KD46SQLFGZQRA,AH5VLM66SIK7J3IRG4NY7XVOQ55A,AE3MQNNHHLUHXURL5S7IAR7JTGNQ,AFSEOFZY67MYC7UAJU264Z5NFTLA","rahuls6099,Swasat Borah,Ajay Wadke,Pranali,RVK,Bhargav,Durai Vignesh,Amazon Customer","R1BP4L2HH9TFUP,R16PVJEXKV6QZS,R2UPDB81N66T4P,R3KK4GT934ST3I,RCFHMWUSBIJO,RDO7DACXMAJ84,R3A6MEZL3LY66Z,R1ESIEKPGAYA29",good originaldecentgood one secondary usebest qualitygoodamazing product mind blowing pricenice qualitygood product,bought instead original apple work r fast apple charger good option want cheap good product bought ipad pro working flawlessly build quality ok like gonna hang clothes want strong cable even braided cable stop working year used anker apple store strong braided cable stop working year please dont buy high end cable instead choose one even stop working withing year loose r compare rsupdatepin stopped charging one side slip pin charge side update let know long workits good sure durability pin area feel bit fragiledoes support apple carplayso little disappointed thatother cable made good qualitybest buy fathfulwriting review post month order producthonestly portronics konnect l lightning cable work like magic original apple charging brickseeing price cable initially hesitated buying low offer wasnt sure would work well iphone whether would impact iphones battery health lightning cable brand costing like wayona amazon basic etcearlier using wayona brand lightning cable eventually frayed stopped workingcharging speedcharges iphone fast enough almost similar compared original cable level used w original apple power adapterquality durabilitygreat quality braided cable doesnt tangle easily withstand daytoday usagelshaped pinthis innovative portronics make sure cable doesnt get damaged even used chargingcarplay data syncworks smoothly carplay syncs data effortlesslyps used cable original apple charging brick extremely satisfied performancebetter expect product like quality plan buy type cable come usb c lighting cable emergency purpose much love cable buy cable emergency us since good onegood product value money,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VzNhhqifL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5
B08Y1TFSP6,ptron solero tb typec data fast charging cable made india mbps data sync strong durable meter nylon braided usb cable typec device charging adapter black,computersaccessories,149.0,1000.0,85.0,3.9,24871.0,fast charging data sync solero tb typec cable support fast charge va device data syncing speed mbpsuniversal compatibility usb charging cable connects usb typec device standard usb device like laptop hard drive power bank wall car charger etcconnector one reversible type cconnector two usb typerough tough typec cable charging cable doublebraided exterior premium aramid fiber core metal plug passed bending test easily withstand daily useextended length meter long ctype cable us nylon material protect wire avoid knotsperfect fit connector ptron soler usbc passed kg load test swing test time connect disconnect ensure loose connection,"AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,AGRVINWECNY7323CWFXZYYIZOFTQ,AHBAT6VLOXWGYDL57KHCNCLPXAKA,AF7NDY2H6JVYTSQOZP76GCATQ34Q,AFV7ZA733ZLME4KNLZPMPCBUNPPA,AHFAAPSY2MJ5HYOU2VQDJ7AQY4NQ,AH2WGV2PEBUTICRPBEEVKF24G5LA,AEP4MK3EKOBDKTGPJTRN5RBDIODA","Jayesh,Rajesh k.,Soopy,amazon customer,Aman,Shankar,dinesh,Chitra,Ajaybabu.O.M","R7S8ANNSDPR40,R3CLZFLHVJU26P,RFF7U7MPQFUGR,R1MV1NKC23DWPI,R11D3U0V2XKDKF,R18MP1KLUE18PC,RWGJNVEH5ZQME,R1XN72FU6Q37IH",pretty goodaverage qualityvery good useful usb cablegood usb cable experience good long lastinggoodnice product usefulsturdy support w charging,good productlikevery good item strong useful usb cablevalue moneythanks amazon producer product useful productsturdy support w charging,https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6
B08WRWPM22,boat micro usb tanglefree sturdy micro usb cable fast charging mbps data transmission black,computersaccessories,176.63,499.0,65.0,4.1,15188.0,ensures high speed transmission charging offering fast charging data transmission rapid sync mbpsthe braided skin make durable invincible external damage absolute hasslefree tangle free experienceits durable pvc housing flexible design make last time longer cablesusb cable offer perfect meter length smooth hasslefree user experience superior charging data transfer tasksthe compact smooth aluminium connector fit case seamlessly resists corrosion signal puritymicro usb cable offer universal compatibility compatible android smartphones tablet pc peripheral bluetooth speaker power bank game console microusb enabled device year warranty date purchase,"AG7C6DAADCTRQJG2BRS3RIKDT52Q,AFU7BOMPVJ7Q3TTA4G67RASTGYIQ,AER5ZGIXXVYG3AWZTRZT7M2BYCEA,AHE76XQSOLGOP5ZEKTIW6KUPDWBQ,AGXTMB2XHZBEWZ2UIX7ODZ4XTU6Q,AHNM2XVU745EDPNGUOAG74PTSNRA,AH5RWQ4S72IVLZD6O75OPCFIVDXQ,AG322TYKVPLPBDXE7ABEUK5QTALQ","Vivek kumar,Amazon Customer,SARTHAK,Chiranjeevi,V V GIRI KUMAR,Rajnandini,Akshay Talla,sudhanshu chaubey","R8E73K2KWJRDS,RSD0JTIIWQQL8,R64CRSTE9SLW1,R2FRTNIIUFJE1F,RWGNX3W7UOJ7W,R32TYHHODHTF5D,RQL9ZMQUTY7P2,R280XJ5VZUBOXV",long durablegooddoes charge lenovo tabbest charging cablegoodboatproduct good क कबल मर लए बहत ह लभदयक ह,build quality good come year warrantygood productbought charging mobile tab doesnt work lenovo tabguys cable best compare everyone heat protection quickly charging chance shock circuitgoodnicegood qualityएम क डट कबल मर लए बहत ह लभदयक ह म इस कबल क लइन म चरज करत समय फन बहत आरम स उपयग कर प रह ह आप इस कबल स watt क चरजर उस कर सकत ह इसस जड नह लकल बजर म इसक दम ह अमजन प य कबल मझ म मल गरव स कह हम हद ह जय हद जय भरत,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-Micro-USB-Tangle-Free-Transmission/dp/B08WRWPM22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8
B08DDRGWTJ,mi usb typec cable smartphone black,computersaccessories,229.0,299.0,23.0,4.3,30411.0,long typec usb cablesturdy durable usb cable transfer data speed upto mbpsupto outputmonths warrantysturdy durable usb cable transfer data speed upto mbpsmonths warrantyup output,"AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,AF74RSGCHPZITVFSZN76K6GKPICA,AHDD7ZNB47QA2JLYU53HD4ML3VNQ,AHV3ELGDSOWBYUQLXSPDCSHBQRHQ,AEJU4L3ZM2GTILSJZZSNSF6VUOIA,AFVD66VQMSHPDT3A6HBBBGKRXBZA,AELKHQXVSSG6NHXLFJLLNEFRQQUQ,AGYSMAC6V6RFJJOHG2FIRPOZ6CSQ","Pavan A H,Jayesh bagad,Shridhar,rajendran,karuppu k,Akshay wani,Abbimaniu Singh,VISHAL H BADSHE","R2X090D1YHACKR,R32ZCIH9AFNJ60,R3N57EVVG0EHAF,R3QWLE8JHROKC1,R2VTSDOOUTSQ5X,R3E6FZ75Q074KH,R1SYBQLTPFCW20,RYQT96J8HPIXE",worth money suitable android autogood productlengthniceoriginalvery good quay cable support fast chargingoriginal mi cable charging upto watti veri happy product provide turbo charging,worth money suitable android auto purpose served cargot rseverything okay packaging good feeling like seller gave used cablegood productgood product cost moreoriginal cablei bought cable using cable android auto car perfectly work without glitchoriginal mi cable charge upto watt got r watt charger want cable car went checked performance battery charging app charging speed exactly half watt original cable go itit provided turbo charging recommend redmi note mobile phone provide turbo charging veri happy product,https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9
B008IFXQFU,tplink usb wifi adapter pctlwnn n wireless network adapter desktop nano size wifi dongle compatible window xp mac o linux kernel,computersaccessories,499.0,999.0,50.0,4.2,41526.0,usb wifi adapter speedy wireless transmission mbps ideal video streaming internet callsmini design sleek miniature design small plugged left laptop usb portadvanced security support wep wpa pawpapskwpapsktkipaescompatibility window xp mac o earlier linuxeasy setup connect time easy setup utility languagesin unlikely case product quality related issue may ask reach brand customer service support seek resolution require brand proof issue process replacement request,"AGV3IEFANZCKECFGUM42MRH5FNOA,AEBO7NWCNXKT4AESAN443HQH35FQ,AE7GD3VRRYQEAHDR7FXJIR23INYA,AHPAW24BI5X2GCX5M2LHI72VSJJQ,AE2VXY4CFO36MDSIMPG43XHNF4GA,AHHQEKUNVETALN7DTRHUQ2WAWEKQ,AFMIFTNTUD5PIHGONWOTRMMZ5EBA,AHOJBIZVVIIFJKRREY4B6ESVA4KA","Azhar JuMan,Anirudh Sood,Hari Krishnan PS,Akash Jindal,PRADEEP,Rajesh,Divya Kothari,abhijit","R1LW6NWSVTVZ2H,R3VR5WFKUS15C5,R2F6GC79OYWUKQ,R3QZ19MECGWG9A,R2MPU42MYK7GPO,R33DVXFB4VYPZZ,R1SQ7OGFR4JRUR,R1S5F9QI0M1VBZ",work linux get model antennadoes say brand available lesser priceeasy handlegreat productperfect workingspeed perfectgreat design build connectivity range packaging feature linux support since vvery good,use connect old pc internet tried lubuntu ubuntu worked box didnt setup there extender cable place comfortable place get model antenna otherwise youll range problem youre directly line sight wifi routerthe wifi dongle simple plug play device start catching available network right plug usb port additional installation software requires signal strength good wonder would different adapter lesser known brand available much competitive pricing hence star lessproseasy use portablecan connected mobile hotspot used pc budget friendlyless installation processno heating issue good coveragebest alternative usb tethering phone battery may get damaged long term run tetheringconsinternet connection speed varies time also depends modem cellular connectionissues occur installing via cd available along product installation driver downloaded tplink siteneeded reconnect adapter every time system turned onwill work software issue encountered update systemworked mesupport center worse call unattended time visit nearby storeconclusionbrought ideal user dont need high speed internet usagea good alternative usb tethering budgep youtube video easily played without interruptionswifi connectivity great good result however jitter problem existthis perfect device connect wifi go itthis wifi adopter good workingpictures attachedsizedesign build quality packaging software speed connectivity experience warranty size designthe best part compact size sober elegant design big plus easy plug use add good sober designbuild qualitythe build quality undoubtedly superb qualm held doesnt give cheap flimsy productlike feeling good sturdy build qualitypackagingthis part also big plus item well cushioned packaged necessary item ensured damage could caused product transportation ensures customer received something damaged internally alreadysoftwarethis actually good great part productthe good part cd provided along manualthe great part linux support given version onwards bad reallyspeedit easily support net speed upto mbps practically speaking tested home easily support net speed mbps without sighon testing found connect ghz network without issueconnectivityplease mark foot metre multiply metre x get distance feetit easily connects laptop phone metre across one room thats foot mean even old bluetooth used connect ftso foot issue big plus found productexperiencefrom point view far except linux noncompatibility issue found flaw productso overall great productwarrantyits year assured atleast year tensionfree year contrary electronic item today provide year warranty itemsbest adapter bought ever work nicely seemless connectivity,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31e6ElWRymL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10
B082LZGK39,ambrane unbreakable w fast charging braided micro usb cable smartphones tablet laptop micro usb device mbps data sync quick charge rcm black,computersaccessories,199.0,299.0,33.0,4.0,41526.0,universal compatibility compatible micro usb enabled device android smartphone tablet pc peripheral micro usb compatible deviceunbreakable made special braided outer rugged interior binding ultradurable cable wont affected daily rough usageideal length ideal length meter neither short like typical meter cable long like meter cablesupports maximum fast charging mbps data transfer speed month manufacturer warranty date purchase,"AECPFYFQVRUWC3KGNLJIOREFP5LQ,AGYYVPDD7YG7FYNBXNGXZJT525AQ,AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,AEZ346GX3HJ4O4XNRPHCNHXQURMQ,AEPSWFPNECKO34PUC7I56ITGXR6Q,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,AH4QT33M55677I7ISQOAKEQWACYQ","ArdKn,Nirbhay kumar,Sagar Viswanathan,Asp,Placeholder,BharanI,sonia,Niam","RGIQEG07R9HS2,R1SMWZQ86XIN8U,R2J3Y1WL29GWDE,RYGGS0M09S3KY,R17KQRUTAN5DKS,R3AAQGS6HP2QUK,R1HDNOG6TO2CCA,R3PHKXYA5AFEOU",good braided cable type c devicegood quality product ambranesuper cableasgood qualitygood productits goodgood quality price one issue unit,ordered cable connect phone android auto car cable really strong connection port really well made already micro usb cable ambrane still good shape connected phone car using cable got connected well issue also connected charging port yes fast charging supportit quality good price main thing didnt ever thought cable long good one charging power good also support fast chargingvalue money extra lengthgood working fineproduct quality goodgoodvery goodbought daughter old phonebrand new cable charging already repacked requested replacementi checked green colour pastefungus inside micro usb connector cleaned alcoholic start working againchecked ampere charging speed got around mama bad came braided long cable pretty impressive pricecant blame manufacturerbut quality issue distributor might stored humid place,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kj3q4SepL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11
